glottocode	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	clim_PC1	clim_PC2	clim_PC3	longitude_180
walm1241	-19.69025	125.748475	271	153	52	4723	398	109	289	311	222	321	203	349	98	1	111	243	10	156	11	0.190015274105806	-4.09282991834287	-0.995719331431239	125.748475
wand1263	-14.454448	135.456487	274	116	56	2894	368	161	207	294	231	306	231	998	238	1	109	688	5	412	5	1.57773220290619	-2.89042534095547	0.3053971319528	135.456487
wany1247	-18.198094	137.479327	254	134	52	4186	365	109	256	289	193	298	193	569	156	1	109	377	10	254	10	0.300897723658109	-3.24107622805299	-0.363204199715643	137.479327
wari1262	-25.00479	116.318018	238	154	47	6185	408	81	327	168	232	315	157	211	36	3	65	85	12	68	68	-1.06163840236093	-3.23753566305102	-2.09846818284545	116.318018
warl1254	-20.58751	130.858901	246	156	50	5301	383	73	310	304	192	304	171	390	90	5	85	225	21	225	22	-0.313816751042	-3.44281545021553	-1.03984511165731	130.858901
wemb1241	-35.566891	143.607655	161	131	47	5012	312	39	273	128	225	225	97	375	42	21	21	117	70	70	106	-1.80460013748896	-0.935551787475409	-2.21107739431354	143.607655
wikn1245	-13.71741	141.637262	267	106	61	1813	347	176	171	279	240	287	240	1520	401	1	121	1126	5	669	5	2.64595497865191	-2.16233298905557	1.90733077502736	141.637262
wong1246	-27.603503	142.447239	219	140	44	6286	373	59	314	288	186	296	135	237	43	8	49	106	34	87	45	-1.05436496735306	-2.74281698854019	-1.86309736387485	142.447239
yann1237	-12.037377	135.568849	271	89	62	1611	335	192	143	281	251	289	247	1383	347	1	110	933	5	599	10	2.51588089700857	-1.97740266300727	1.20224616399081	135.568849
yany1243	-15.725592	136.350689	272	105	52	3208	361	160	201	297	224	307	224	950	250	1	118	695	4	352	4	1.47316654266798	-2.85663091172568	0.424254896190146	136.350689
yayg1236	-29.656271	153.181363	190	98	49	3574	275	77	198	220	148	232	141	1361	178	45	36	498	181	445	249	0.155863538772549	0.376985745756176	-0.638282089864065	153.181363
yind1247	-22.010657	117.589981	260	142	49	5233	396	109	287	314	267	319	187	367	91	2	90	222	12	200	51	0.176761238055891	-3.65603251327091	-1.27158549712141	117.589981
yinh1234	-23.501607	118.871252	242	144	46	6041	390	78	312	307	248	313	159	289	60	4	69	148	16	140	48	-0.452189276408895	-3.35786664865352	-1.64258831182231	118.871252
yiry1245	-15.125675	142.050341	267	123	60	2238	357	155	202	282	233	290	233	1221	348	2	125	921	6	544	6	2.06497676493459	-2.70423391894208	1.35998921118714	142.050341
yuwa1242	-29.574185	147.900172	200	141	46	5850	349	46	303	265	135	272	121	472	72	22	37	179	80	175	81	-1.10125078894122	-1.85794914994496	-1.59393532243138	147.900172
yuwa1243	-28.872217	148.671974	201	143	47	5765	349	46	303	272	123	272	123	515	81	23	37	193	87	193	87	-1.02087709847961	-1.83364395845404	-1.51221186636456	148.671974
