glottocode	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	clim_PC1	clim_PC2	clim_PC3	longitude_180
ciac1237	-5.58045	122.73825	256	81	75	610	310	203	107	259	252	263	247	1916	255	44	48	731	137	444	329	2.69575910783223	-0.119070413812479	-0.713496639829413	122.73825
ciac1237	-5.39368	122.97893	262	80	76	608	315	210	105	265	258	268	253	1854	234	39	48	666	127	386	340	2.66923509631961	-0.317775212189773	-0.984399778468165	122.97893
ciac1237	-5.68953	122.63715	266	82	76	569	319	212	107	268	262	272	258	1839	248	37	50	712	126	436	308	2.79834518873787	-0.425922280406975	-0.790492486310918	122.63715
ciac1237	-5.6046	122.59627	264	81	76	577	316	210	106	266	260	269	255	1870	252	39	49	724	132	444	316	2.79944736604563	-0.309038040493136	-0.756609463141748	122.59627
ciba1236	10.8977	12.902	253	142	59	2074	371	134	237	242	231	283	231	826	252	0	122	588	0	91	1	0.907023647410552	-3.38034831716488	-0.0715558803096858	12.902
cine1238	11.1319	13.8187	255	143	62	1941	373	145	228	242	237	284	237	820	263	0	125	598	0	81	0	1.06360389965155	-3.45912447120737	-0.0623577270010863	13.8187
clas1254	30.027852	91.158704	26	147	43	6839	177	-164	341	110	-49	110	-64	321	97	0	130	243	2	243	2	-4.58716305075307	-0.459441146200365	1.36512754536321	91.158704
cofa1242	0.276675	282.9357	246	98	89	344	302	193	109	243	248	250	241	3064	319	198	17	934	608	729	900	4.51596765151073	3.1131038259476	-1.36032462804407	-77.0643
colo1256	-0.21181	280.7653	234	89	80	720	292	181	111	244	227	244	227	2872	531	52	78	1540	187	1540	209	4.44000585886015	1.12948249201146	3.38993048169815	-79.2347
croa1245	45.2	16.83	111	103	33	7186	274	-33	307	185	30	201	15	944	104	57	17	274	178	269	207	-2.35734816427631	0.90571059367165	-0.943412846647238	16.83
croa1245	45.813486	15.992661	110	94	30	7497	273	-32	305	204	26	204	11	939	101	49	21	281	161	281	180	-2.39297232097683	0.825619220336568	-0.778041951127595	15.992661
czec1258	49.87	15.1	74	85	30	6889	222	-55	277	160	-17	160	-17	611	85	29	41	245	92	245	92	-3.30356698914054	0.981094957220507	-0.280774039237807	15.1
czec1258	50.071244	14.468136	89	91	32	6975	244	-38	282	178	-1	178	-1	502	73	19	47	211	65	211	65	-3.1353538150114	0.330444980136855	-0.422596385458501	14.468136
czec1258	49.873398	15.10437	74	85	30	6889	222	-55	277	160	-17	160	-17	611	85	29	41	245	92	245	92	-3.30356698914054	0.981094957220507	-0.280774039237807	15.10437
dadu1237	-8.489721	125.903071	258	79	73	710	309	201	108	263	251	265	247	1058	176	6	71	520	32	420	49	1.8160510965642	-1.41256382629796	-0.685614009868012	125.903071
dani1285	55.6	12.5	85	62	27	6154	210	-18	228	159	32	165	11	607	66	33	20	188	110	179	137	-2.94999148356232	1.45074172570927	-0.984005968554925	12.5
dani1285	55.679885	12.583182	84	63	27	6215	211	-20	231	159	31	165	9	624	68	33	20	193	112	184	141	-2.95603581715579	1.45705461414365	-0.958902627517319	12.583182
dani1285	54.8655	9.36284	79	61	28	5741	194	-23	217	89	29	152	7	833	93	44	23	263	145	226	189	-2.93492688219405	2.08143099624466	-0.778774610727789	9.36284
darg1241	42.43	47.44	62	86	27	7920	226	-89	315	143	-40	162	-40	555	85	16	48	231	55	206	55	-3.8890167123577	0.763820468681063	-0.0412636996850554	47.44
darg1241	42.4257	47.4388	62	86	27	7920	226	-89	315	143	-40	162	-40	555	85	16	48	231	55	206	55	-3.8890167123577	0.763820468681063	-0.0412636996850554	47.4388
dass1243	9.9325	9.51838	255	131	60	1850	360	145	215	242	237	283	237	1104	282	0	109	733	1	161	1	1.30549768403402	-2.88492000716517	0.156507888314536	9.51838
