glottocode;language;colexification;exists_blue;macroarea;latitude;longitude;family;glottocode_family;status;to_lookin_glotto;subsistence;popsize_ethno;popsize_wiki
aleu1260;Aleut;none;yes;North America;52.12;-174.29;Eskimo-Aleut;eski1264;alive;ok;HG;490;200
alor1247;Alorese  Alor-Besar;none;yes;Papunesia;-8.2222047;124.4084444;Austronesian;aust1307;alive;ok;AGR;25000;25000
alor1247;Alorese  Bana;none;yes;Papunesia;-8.176126;124.285994;Austronesian;aust1307;alive;ok;AGR;25000;25000
alor1247;Alorese  Baranusa;none;yes;Papunesia;-8.3613;124.0939;Austronesian;aust1307;alive;ok;AGR;25000;25000
alor1247;Alorese  Baranusa;none;yes;Papunesia;-8.361888;124.094494;Austronesian;aust1307;alive;ok;AGR;25000;25000
alor1247;Alorese  Beaong Onong;green;no;Papunesia;-8.310903;124.031987;Austronesian;aust1307;alive;ok;AGR;25000;25000
alor1247;Alorese  Buaya;none;yes;Papunesia;-8.182806;124.375247;Austronesian;aust1307;alive;ok;AGR;25000;25000
alor1247;Alorese  Dulolong;none;yes;Papunesia;-8.252034;124.450591;Austronesian;aust1307;alive;ok;AGR;25000;25000
alor1247;Alorese  Helandohi;green;no;Papunesia;-8.208019;124.28722;Austronesian;aust1307;alive;ok;AGR;25000;25000
alor1247;Alorese  Kecil;none;yes;Papunesia;-8.271256;124.411719;Austronesian;aust1307;alive;ok;AGR;25000;25000
alor1247;Alorese  Marica;none;yes;Papunesia;-8.348647;123.966102;Austronesian;aust1307;alive;ok;AGR;25000;25000
alor1247;Alorese  Munaseli;none;yes;Papunesia;-8.1927045;124.3070337;Austronesian;aust1307;alive;ok;AGR;25000;25000
alor1247;Alorese  Pandai;none;yes;Papunesia;-8.21559;124.2643342;Austronesian;aust1307;alive;ok;AGR;25000;25000
alor1247;Alorese  Ternate;none;yes;Papunesia;-8.210253;124.376706;Austronesian;aust1307;alive;ok;AGR;25000;25000
alor1247;Alorese  Wailawar;green;no;Papunesia;-8.218032;124.229612;Austronesian;aust1307;alive;ok;AGR;25000;25000
amba1266;Nembao;none;yes;Papunesia;-11.2958;166.498;Austronesian;aust1307;alive;ok;NA;590;590
anci1242;Ancient Greek;none;yes;Eurasia;39.8155;21.9129;Indo-European;indo1319;old;ok;AGR;0;0
anci1242;Classical Greek;green. grey;no;Eurasia;37.696861;23.999205;Indo-European;indo1319;written_only;ok;AGR;0;0
andi1255;Andi;green;no;Eurasia;42.81;46.29;Nakh-Daghestanian;nakh1245;alive;ok;AGR;21800;20000
andi1255;Andi;green;no;Eurasia;42.8078;46.2919;Nakh-Daghestanian;nakh1245;alive;ok;AGR;21800;20000
anut1237;Anuta;green;no;Papunesia;-11.61;169.85;Austronesian;aust1307;alive;ok;AGR;270;270
apat1240;Apatani;green;no;Eurasia;27.12;93.44;Sino-Tibetan;sino1245;alive;ok;AGR;24000;44815
arao1248;Araona;none;yes;South America;-12.4242;-67.7293;Pano-Tacanan;pano1259;alive;ok;HG;81;110
arch1244;Archi;none;yes;Eurasia;42;46.8333;Nakh-Daghestanian;nakh1245;alive;ok;AGR;1200;970
arch1244;Archi (variety 1);none;yes;Eurasia;42.3239;46.8267;Nakh-Daghestanian;nakh1245;alive;ok;AGR;1200;970
area1240;'Are'are (1);none;yes;Papunesia;-9.20699;161.158;Austronesian;aust1307;alive;ok;AGR;17900;18000
aros1241;Arosi (1);none;yes;Papunesia;-10.2441;161.432;Austronesian;aust1307;alive;ok;AGR;6750;6750
asum1237;Asumboa;none;yes;Papunesia;-11.2969;166.499;Austronesian;aust1307;alive;ok;NA;10;10
atim1239;Abui  Atimelang;green;no;Papunesia;-8.226;124.6683;Timor-Alor-Pantar;timo1261;alive;ok;AGR;NA;NA
avar1256;Avar;none;yes;Eurasia;41.7;46.56;Nakh-Daghestanian;nakh1245;alive;ok;AGR;788960;766500
avar1256;Avar;none;yes;Eurasia;41.7047;46.558;Nakh-Daghestanian;nakh1245;alive;ok;AGR;788960;766500
axiy1235;Yi (Mile);none;yes;Eurasia;27.16;105.61;Sino-Tibetan;sino1245;alive;ok;AGR;100000;100000
ayor1240;Ayoreo;none;yes;South America;-19.220055;-60.217495;Zamucoan;zamu1243;alive;ok;AGR;3070;2189
baba1268;Mbambatana;none;yes;Papunesia;-7.22281;157.149;Austronesian;aust1307;alive;ok;NA;7070;7070
baba1268;Tun?Âe;green;no;Papunesia;-7.22281;157.149;Austronesian;aust1307;alive;ok;NA;7070;7070
baeg1237;Mbaengguu;none;yes;Papunesia;-8.49014;160.771;Austronesian;aust1307;alive;ok;AGR;5900;5900
bael1237;Mbaelelea;none;yes;Papunesia;-8.41627;160.721;Austronesian;aust1307;alive;ok;AGR;8800;8800
bagv1239;Bagvalal;none;yes;Eurasia;42.3966;46.1041;Nakh-Daghestanian;nakh1245;alive;ok;AGR;6500;1450
baka1276;Blagar  Bakalang;green;no;Papunesia;-8.2634;124.2972;Timor-Alor-Pantar;timo1261;alive;ok;AGR;NA;NA
bash1264;Bashkir;sky;yes;Eurasia;53.6;56.56;Turkic;turk1311;alive;ok;AGR;1451340;1200000
basq1248;Basque;grey;mixed_with;Eurasia;43.28;-1.32;Basque;basq1248;alive;ok;AGR;658960;537860
basq1248;Basque;grey;mixed_with;Eurasia;43.2787;-1.31622;Basque;basq1248;alive;ok;AGR;658960;537860
bata1314;Mwulyen;none;yes;Africa;9.68091;12.677;Afro-Asiatic;afro1255;alive;ok;AGR;152500;152500
bats1242;Tsova-Tush;none;yes;Eurasia;42.1806;45.344;Nakh-Daghestanian;nakh1245;alive;ok;AGR;3420;3420
batu1258;Batuley;green;no;Papunesia;-5.735916;134.812861;Austronesian;aust1307;alive;ok;AGR;3840;3600
baur1252;Bauro (2);none;yes;Papunesia;-10.5826;161.863;Austronesian;aust1307;alive;ok;AGR;4980;5000
bela1254;Belarusian;none;yes;Eurasia;53.23;25.6;Indo-European;indo1319;alive;ok;AGR;8618630;7900000
beng1280;Bengali;none;yes;Eurasia;24;90;Indo-European;indo1319;alive;ok;AGR;181272900;242659750
beng1280;Bengali;none;yes;Eurasia;23.7805733;90.2792399;Indo-European;indo1319;alive;ok;AGR;181272900;242659750
bezh1248;Bezhta;green;no;Eurasia;42.0833;46.1667;Nakh-Daghestanian;nakh1245;alive;ok;AGR;6200;6000
bezh1248;Bezhta;green;no;Eurasia;42.1206;46.0332;Nakh-Daghestanian;nakh1245;alive;ok;AGR;6200;6000
biak1248;Biak;none;yes;Papunesia;-1.003358;135.815912;Austronesian;aust1307;alive;ok;HG;30000;70000
biak1248;Biak;none;yes;Papunesia;-0.9523;135.879;Austronesian;aust1307;alive;ok;HG;30000;70000
biao1254;Biao Min;green;no;Eurasia;25.82286;111.29622;Hmong-Mien;hmon1336;alive;ok;AGR;43000;43000
bilu1245;Mbilua and Ndovele;none;yes;Papunesia;-7.92388;156.663;Bilua;bilu1245;alive;ok;AGR;8740;8700
bima1247;Bima;none;yes;Papunesia;-8.53818;118.843333;Austronesian;aust1307;alive;ok;AGR;500000;500000
bino1238;Tukang Besi  Binongko Popalia;none;yes;Papunesia;-5.961514;124.027918;Austronesian;aust1307;alive;ok;NA;NA;NA
bira1254;Mbirao;none;yes;Papunesia;-9.73716;160.52;Austronesian;aust1307;alive;ok;NA;5900;5900
bitt1240;Pusing;none;yes;Eurasia;21.3474;101.916;Austroasiatic;aust1305   ;alive;ok;AGR;1730;2200
biyo1243;Biyue;none;yes;Eurasia;22.511;101.652;Sino-Tibetan;sino1245;alive;ok;AGR;120000;120000
blab1237;Ghove;none;yes;Papunesia;-8.15058;159.419;Austronesian;aust1307;alive;ok;AGR;1770;1150
blag1240;Blagar;green;no;Papunesia;-8.31787;124.251;Timor-Alor-Pantar;timo1261;alive;ok;AGR;11000;10000
blag1240;Blagar  Nule;green;no;Papunesia;-8.3672;124.2409;Timor-Alor-Pantar;timo1261;alive;ok;AGR;11000;10000
blag1240;Blagar  Tuntuli;green;no;Papunesia;-8.2056;124.2907;Timor-Alor-Pantar;timo1261;alive;ok;AGR;11000;10000
blan1242;Bulang;green  yellow;no;Eurasia;22.0092;99.7405;Austroasiatic;aust1305   ;alive;ok;HG;55200;68000
boga1251;Boka;black;mixed_with;Africa;10.188;12.936;Afro-Asiatic;afro1255;alive;ok;AGR;10000;10000
boly1239;Paliu;none;yes;Eurasia;24.7013;104.955;Austroasiatic;aust1305   ;alive;ok;NA;10000;500
botl1242;Botlikh;none;yes;Eurasia;42.665;46.22;Nakh-Daghestanian;nakh1245;alive;ok;AGR;5500;210
bret1244;Breton;green  unripe;no;Eurasia;48.25;-3.79;Indo-European;indo1319;alive;ok;AGR;500045;206000
bret1244;Breton;green  unripe;no;Eurasia;47.995619;-4.102864;Indo-European;indo1319;alive;ok;AGR;500045;206000
bret1244;Breton;green  unripe;no;Eurasia;48.2452;-3.78934;Indo-European;indo1319;alive;ok;AGR;500045;206000
budu1248;Budukh;none;yes;Eurasia;41.18169;48.371;Nakh-Daghestanian;nakh1245;alive;ok;AGR;1000;200
budu1248;Budukh;none;yes;Eurasia;41.2272;48.3353;Nakh-Daghestanian;nakh1245;alive;ok;AGR;1000;200
bugh1239;Dhadhaje;none;yes;Papunesia;-8.47948;159.802;Austronesian;aust1307;alive;ok;NA;4050;4100
bulg1262;Bulgarian;none;yes;Eurasia;42.7;23.8;Indo-European;indo1319;alive;ok;AGR;9097220;9000000
bulg1262;Bulgarian;none;yes;Eurasia;42.698586;23.3535;Indo-European;indo1319;alive;ok;AGR;9097220;9000000
bulg1262;Bulgarian;none;yes;Eurasia;43.3646;25.047;Indo-European;indo1319;alive;ok;AGR;9097220;9000000
buna1278;Bunak  Bobonaro;green;no;Papunesia;-9.033683;125.323406;Timor-Alor-Pantar;timo1261;alive;ok;AGR;100000;76000
buna1278;Bunak  Suai;green;no;Papunesia;-9.221923;125.225417;Timor-Alor-Pantar;timo1261;alive;ok;AGR;100000;76000
bura1292;Bura;green;no;Africa;10.4822;12.3007;Afro-Asiatic;afro1255;alive;ok;AGR;200000;9500000
buri1258;Buryat;none;yes;Eurasia;51.83;107.6;Mongolic-Khitan;mong1349;alive;ok;AGR;329000;329000
buru1296;Burushaski;green  grey;no;Eurasia;36.22;74.82;Burushaski;buru1296;alive;ok;AGR;87000;112000
buru1303;Buru;none;yes;Papunesia;-3.489321;126.66412;Austronesian;aust1307;alive;ok;AGR;51722;33000
buru1303;Buru;none;yes;Papunesia;-3.44;126.63;Austronesian;aust1307;alive;ok;AGR;51722;33000
