glottocode	latitude	longitude	longitude_180	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec	UV_sd	UV_mean
moks1248	54.186	42.673	42.673	2297	4961	9301	13865	18923	20492	19329	15744	9767	5074	2239	1537	7166.95548977557	10294.0833333333
moro1292	32.5	-7.5	-7.5	10875	13825	17729	21776	24200	25849	26556	24586	20574	15701	11736	10020	6100.57731185162	18618.9166666667
muyu1244	-9.195	152.731	152.731	21404	21613	21319	20198	18746	17648	17980	19133	20950	21989	21911	21946	1613.47177671084	20403.0833333333
cent2132	19.125	261.7	-98.3	15526	18190	19680	19736	19995	19364	19037	19195	16884	17076	16054	14799	1820.37445365374	17961.3333333333
nava1243	36.211	249.918	-110.082	9827	12766	17960	22085	25789	27974	24807	21376	19506	15582	11300	9019	6481.41477903388	18165.9166666667
nene1249	66.178	71.023	71.023	538	2033	7173	14158	19122	20370	18174	11457	5930	2228	827	342	7783.45440175777	8529.33333333333
nepa1254	28	85	85	13602	16354	19058	21556	21671	18136	17029	16211	15961	16138	14367	12907	2797.90853165631	16915.8333333333
newa1246	27.261	84.958	84.958	14724	17638	20706	23147	23674	20087	19037	17910	16786	17229	15602	14079	3070.76435430936	18384.9166666667
nhen1239	1.045	293.035	-66.965	14836	15687	14773	13487	12835	12812	13474	15502	16495	16430	15072	15380	1295.51312812781	14731.9166666667
carn1240	9.189	92.767	92.767	15317	19306	21461	20794	18032	16109	15338	16385	16633	15787	15474	14356	2301.93437760243	17082.6666666667
nyan1307	-0.464	30.548	30.548	15903	16277	16151	15792	15935	16593	16431	16131	17312	16440	15594	16095	448.515497519485	16221.1666666667
norw1258	59.92	10.71	10.71	1169	3273	7589	13210	18083	19125	18170	14559	9013	4376	1535	715	7128.26454877151	9234.75
nyun1247	-33.12	118.151	118.151	28531	26079	20427	14831	10839	9100	9980	12839	17585	22591	26239	29810	7558.23278356826	19070.9166666667
khan1278	4.709	7.444	7.444	15487	16233	16359	16014	15147	13116	11847	11977	12778	14015	14975	15471	1646.05265895736	14451.5833333333
pott1240	18.597	82.759	82.759	18293	20819	23189	23905	23469	19589	16777	16777	17671	18454	17802	17291	2679.92248870271	19503
rian1262	23.68	92.032	92.032	16474	18732	21181	21620	20785	17398	16647	16248	16732	17327	16444	15588	2118.09208029445	17931.3333333333
poli1260	51.844	18.626	18.626	2438	4737	9045	14058	18469	19615	18443	16026	10834	6294	2806	1799	6780.55844218445	10380.3333333333
west2386	30.095	75.347	75.347	12859	15956	19353	23743	26138	25968	21593	20552	21335	18824	15165	12623	4631.72323043307	19509.0833333333
rund1242	-1.442	31.319	31.319	15757	16467	16499	16114	15707	16312	17418	17074	17265	16591	15646	15810	617.01750871479	16388.3333333333
russ1263	59	50	50	1546	4080	8689	13891	19056	20865	19227	14074	8104	3701	1485	922	7518.29814317688	9636.66666666667
lule1254	67.276	17.806	17.806	317	1994	6305	12441	16055	17555	16337	11664	6481	2463	595	114	6780.1071117623	7693.41666666667
samo1305	-13.92	188.17	-171.83	18081	17781	17158	15340	13285	12488	11809	13809	15312	17022	17724	18445	2348.0759951049	15687.8333333333
sere1260	13.894	-16.392	-16.392	18211	21007	23130	24745	24128	22010	20170	19166	19667	19886	18625	17064	2409.91011243158	20650.75
shua1257	-3.451	281.811	-78.189	12101	12523	12580	13229	11039	10586	11251	13716	14319	13959	13552	12451	1203.72738029032	12608.8333333333
sici1248	37.574	14.041	14.041	7876	10852	14907	18895	22602	24953	25764	23086	18477	13346	9323	7298	6758.44186084068	16448.25
sind1272	26	69	69	15332	17685	20858	23264	25444	25211	23786	22403	22538	20370	17208	15351	3617.93644097144	20787.5
sout2807	-30.445	27.895	27.895	24240	22604	18996	15629	12883	11408	12451	15528	19048	21460	23916	25527	4982.56133170907	18640.8333333333
sout3123	31.56	38.084	38.084	11212	14317	17722	21157	24899	27271	27448	25826	21745	17146	13139	10400	6236.22620199302	19356.8333333333
swis1247	47.052	8.464	8.464	4421	7478	11498	15832	18559	20126	20251	17360	13022	8531	5048	3653	6248.66772891339	12148.25
tata1255	55	50	50	2257	5139	10036	14741	19861	21329	20115	15761	9748	4815	2129	1482	7531.91372669414	10617.75
telu1262	16.453	78.702	78.702	18979	21342	23820	23722	22885	18897	16338	17363	17700	18947	17786	17852	2620.14511944848	19635.9166666667
thai1261	14.192	100.671	100.671	18374	19559	21252	21424	19694	17838	17274	16793	16756	17763	18067	17754	1591.02958851027	18545.6666666667
ticu1245	-3.663	290.128	-69.872	12526	12881	12642	11895	11473	12965	14450	15583	15427	14283	13677	12402	1333.99327607228	13350.3333333333
tigr1270	17.349	38.223	38.223	17632	19483	23191	24858	25155	25184	22909	21950	22662	21805	18800	17411	2811.77841921939	21753.3333333333
tong1325	-21.17	184.75	-175.25	20473	19594	17258	14068	11345	10150	10327	12379	14585	18224	19489	20691	4040.47544738352	15715.25
tswa1253	-24.368	24.759	24.759	25842	24574	21591	18596	16359	14872	15898	18961	22077	24373	25379	25733	4104.5026596816	21187.9166666667
tuni1259	33.797	9.562	9.562	11298	14634	17738	21088	24407	25127	27619	25899	20413	15939	12401	10536	6026.29861460783	18924.9166666667
nucl1301	39.867	32.867	32.867	6893	9526	13590	18379	22214	25836	28147	25731	19978	13864	8918	6137	7847.4395761621	16601.0833333333
tzel1254	16.638	267.721	-92.279	15679	17800	19772	19655	19539	18475	19119	19233	16768	16274	15390	14543	1877.10473989744	17687.25
tzot1259	16.64	267.26	-92.74	15224	17755	19546	18593	18913	18196	18931	18788	16517	15773	15092	14263	1822.97210495787	17299.25
ukra1253	48.176	24.396	24.396	4067	7019	11027	14960	18697	20356	19792	17106	12539	8351	4283	3009	6412.03116072127	11767.1666666667
urdu1245	25	67	67	15345	17753	20377	22359	24162	23090	20243	19476	21077	19626	16544	14593	3010.87021926763	19553.75
vasa1239	21.362	73.865	73.865	18085	21396	23655	25567	25467	20755	16166	16289	18996	20395	18962	17171	3281.32046591003	20242
cent2150	6.887	287.903	-72.097	16441	16469	15381	15247	15554	15221	16014	16846	17470	16202	15706	15274	719.781843001858	15985.4166666667
vend1245	-22.188	29.952	29.952	23023	22147	20198	18070	16356	14724	15576	18124	20780	21855	22527	22777	2994.45651845357	19679.75
viet1252	20.681	105.774	105.774	9724	10908	12670	15177	18105	18376	18473	17843	17089	15266	12737	10443	3312.48692964831	14734.25
wall1257	-13.29	183.793	-176.207	19440	19116	17983	16013	13890	12960	12777	14990	16870	19125	19153	19853	2650.34321962613	16847.5
pano1254	-7.975	288.438	-71.562	12545	12011	12076	12118	13496	13416	14909	15516	15859	14687	13767	12482	1386.2995544057	13573.5
wels1247	52	-4	-4	2521	4720	8506	13657	17599	18632	17283	14668	10561	5927	3092	1931	6296.99342579818	9924.75
nucl1347	15.253	-15.383	-15.383	17770	20578	22546	24290	23490	21428	20660	19945	20598	19956	17965	16706	2281.74424243358	20494.3333333333
xava1240	-14.302	307.563	-52.437	14417	15077	14468	16489	16029	15710	16954	17910	16033	16841	16081	13655	1219.02847556668	15805.3333333333
xhos1239	-31.039	28.077	28.077	23412	21886	18572	15206	12502	11134	11805	14842	18331	20449	22900	24197	4735.90385600609	17936.3333333333
yano1261	1.68	295.122	-64.878	16101	16441	15890	13876	13739	14063	15315	16681	17313	16145	15942	15509	1145.8946848589	15584.5833333333
yoru1245	7.153	3.672	3.672	16214	16995	18158	17922	17128	13981	11282	10944	12022	14995	16922	16218	2579.7796637768	15231.75
yucu1253	-0.761	288.997	-71.003	13769	13350	13546	12535	12099	12243	12984	14907	15366	14304	14175	13960	1021.80026809489	13603.1666666667
cent2127	60.306	198.514	-161.486	1147	3131	7637	12232	15007	16348	14069	10285	7428	4097	1621	644	5716.44116615055	7803.83333333333
zulu1248	-25.331	31.351	31.351	21404	20598	18275	15833	14262	12863	13542	15619	17855	19428	20119	21167	3067.13263958178	17580.4166666667
