glottocode	latitude	longitude	longitude_180	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec	UV_sd	UV_mean
nubi1251	15.4495675333333	29.9262171333333	29.9262171333333	19115	21586	23086	24613	24051	23281	21281	20468	21189	20889	19804	18681	1906.62459161035	21503.6666666667
nucl1580	-8	325.83	-34.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nucl1709	-5.43	143.09	143.09	13784	13318	13576	14878	15546	14799	14648	16100	17365	17782	16412	15134	1428.17630055065	15278.5
paho1240	-8.934252	142.357933	142.357933	18789	19040	18009	17535	16945	16352	16593	18215	19740	20800	20090	19230	1419.00444187487	18444.8333333333
pala1350	40.7625	-120.926	-120.926	6631	9519	14580	18300	22595	26446	27333	24135	19266	13314	7774	5923	7805.57403398366	16318
pama1250	-12.17	142.49	142.49	20461	19950	19123	18190	17210	16501	17236	19281	21775	23189	22814	21355	2232.22011208301	19757.0833333333
saha1239	45.7462	-119.116	-119.116	4301	7773	12623	17685	21542	24606	25967	22620	16770	10300	5120	3491	8223.81217544331	14399.8333333333
sali1255	48.75	236.75	-123.25	3231	6082	10061	14977	18774	20290	21451	18340	13262	7093	3610	2554	7086.70876455611	11643.75
sino1245	26.1	94.75	94.75	14546	16352	18659	19429	18974	16279	15629	15848	15719	15539	14784	13940	1784.37006115646	16308.1666666667
siou1252	35.5	99.5	99.5	9214	12161	15237	18632	20419	20507	19620	18328	15993	13282	10527	8813	4353.67905287638	15227.75
sout2845	5.717088	36.453122	36.453122	20799	21735	20141	21194	18884	18763	17858	16962	19347	20043	20535	20423	1403.38767619534	19723.6666666667
sout2948	-6.46766444444444	155.618666666667	155.618666666667	18154	18582	18717	18766	18476	17214	16890	17737	19665	19894	18853	18100	883.303235622176	18420.6666666667
taik1256	24	108	108	8883	9728	12123	15313	17020	17637	19829	19251	17623	14368	11369	9693	3935.42686741704	14403.0833333333
tequ1244	16.1782	-95.6692333333333	-95.6692333333333	16151	19159	20109	18662	18984	17837	18517	18374	16173	16872	16527	15126	1509.48591238771	17707.5833333333
timo1261	-8.31	124.59	124.59	16603	16563	18811	18592	17101	16605	16670	19902	22414	22939	21420	19461	2347.94205667754	18923.4166666667
toro1256	-2.21818230769231	139.227261538462	139.227261538462	17089	15959	16254	18182	17407	16700	16402	17812	18501	18272	16707	16578	861.474752967259	17155.25
toto1251	19.92	82.58	82.58	17904	20569	23006	24036	24161	19604	16492	16268	17330	18231	17725	16958	2915.0580221888	19357
tura1263	-7.08	323.58	-36.42	20125	19895	18508	16841	15260	14141	15056	17066	20205	20560	21166	20636	2505.22342044849	18288.25
turk1311	56	125	125	2509	5818	11311	15997	19100	20523	19151	15120	10506	6643	3152	1641	6955.14077314345	10955.9166666667
ural1272	68	30	30	239	1726	5925	12446	16874	19084	17208	11571	6034	2102	422	37	7272.89365112718	7805.66666666667
wint1258	39.9773	-122.318133333333	-122.318133333333	6074	9070	14587	19112	23127	26648	27167	24022	19267	13295	7724	5613	8003.90596502543	16308.8333333333
yare1250	-9.495658	148.4174	148.4174	21235	21148	20263	18929	17627	16910	17615	19094	20486	21939	22011	21510	1807.5869462302	19897.25
yawa1259	-1.843345	136.2795	136.2795	18020	18706	18625	18521	17352	16398	16315	18063	18462	19536	18351	17785	940.554655831367	18011.1666666667
yuki1242	39.04445	-122.898	-122.898	6339	9042	14517	19092	23135	26488	26730	23631	19185	13455	8091	5919	7789.76900112635	16302
zapa1251	-2.935865	-75.0815433333333	-75.0815433333333	13309	13049	11516	11860	12080	12231	13577	15255	14989	14512	13482	12883	1217.92397570869	13228.5833333333
