glottocode	latitude	longitude	humidity_overall_mean	humidity_overall_median	humidity_overall_sd	humidity_overall_IQR	humidity_mean_annual_mean	humidity_mean_annual_median	humidity_mean_annual_sd	humidity_mean_annual_IQR
maya1287	15.42	268.17	0.014948415277973	0.0152700003236532	0.00204235516983449	0.00366749987006187	0.0149478035388329	0.015230368072581	0.00207238976207251	0.00360212159123168
mirn1241	-16.34	133.06	0.0105836213181568	0.00971500016748905	0.00518411197259358	0.00933499983511865	0.0105983337236065	0.00980638680306988	0.00526506734991633	0.00871418194825916
mong1349	48.78	108.67	0.0036613952231391	0.00271999998949468	0.00284784238706556	0.00465500017162412	0.0036578620552945	0.00275653541353272	0.00293507391413084	0.00415020346594651
morb1239	-2.85747	132.845	0.0193858753926705	0.0195099990814924	0.00088127114752747	0.000970000401139259	0.0193947485831958	0.0195965825761151	0.000663908521664446	0.000840031173235426
mose1249	-14.64448	292.16244	0.0155165882527151	0.0159149998798966	0.00158271309844755	0.00248750066384673	0.0155228421039061	0.015953102757016	0.00151105350309579	0.00226491681274234
movi1243	-13.8115	294.3652	0.0166438856511648	0.0169799998402596	0.00200772008248744	0.00297750113531947	0.0166570921934424	0.0170530381082143	0.00181861442984754	0.00274017015342704
nada1235	-0.13	291.6875	0.0185616339116177	0.0186100006103516	0.00071450743648283	0.000959800090640783	0.018567713535107	0.0186663194844085	0.000535182267450697	0.000587252001019402
nakh1245	42.5	46.5	0.00673615419667318	0.00683499989099801	0.00251194842624001	0.00478750048205256	0.00672993451068537	0.00691424376822801	0.00258685045623659	0.00450708121691908
nilo1247	4.75	29.75	0.0156594474288681	0.0165299996733665	0.00227401511891052	0.00200999993830919	0.0156590645135639	0.0165031500186564	0.00200586633048061	0.0020962215850078
nubi1251	18.76	31.75	0.00672900221459264	0.00624500005505979	0.00281820046979775	0.0030350002925843	0.00671992319524727	0.00647754928730946	0.00218425665114762	0.00302986634940478
nucl1709	-5.43	143.09	0.0174607257630094	0.017510000616312	0.000486257597083072	0.000579999759793282	0.0174634036536478	0.0175292430471422	0.000383342022775108	0.00047417014462149
nucl1710	-11	310	0.0158928036114466	0.018130000680685	0.00405736579924283	0.00657499977387488	0.0159064661986814	0.0180951388708005	0.00402925637359919	0.006080431562926
nyul1248	-17.37	123.1	0.0113353975608919	0.0108100003562868	0.00431725061636109	0.00747999968007207	0.0113490493515403	0.0108182174024276	0.00440282243793526	0.00712929131178599
otom1299	17.67	262.58	0.0135941211056042	0.0137099996209145	0.00184146635144252	0.00320000015199184	0.0136005390955966	0.0136656013653717	0.0018236587201698	0.0031125660170801
paez1247	2.61516	283.68746	0.015844144407955	0.0158699993044138	0.000620999247599606	0.000807499513030052	0.0158499327275375	0.0159047972798968	0.00045423794425614	0.00057391237674488
pama1250	-12.17	142.49	0.0164042185125807	0.0157650001347065	0.00287902985793027	0.00553749967366457	0.0164195916043653	0.0158464513628537	0.00291680627363849	0.00498663057159219
pano1259	-7.5	285	0.0170061369600222	0.0172899998724461	0.00137043176127306	0.00195500021800399	0.017014061663679	0.0173502083376257	0.00116008771776154	0.0015881375325585
peba1241	-3.7	287.37	0.0184890772986697	0.0185700003057718	0.000903466042369932	0.00130750006064773	0.0184956038176535	0.018646319461469	0.000735716209071816	0.000962992321648118
puel1244	-42.223	291.334	0.00520034440649817	0.00522999977692962	0.0010807872843218	0.00178750010672957	0.00520202266061255	0.00522694445680827	0.00109898453664721	0.00167190725915134
puin1248	3.92974	292.3114	0.0179585565526325	0.0180600006133318	0.000818143249015831	0.000879999250173569	0.0179625038670188	0.0181513569550589	0.000714535589027612	0.000680404896330502
pume1238	7.10677	292.4004	0.017323096849389	0.0181900002062321	0.00199312020697646	0.00266249990090728	0.0173215278747671	0.0182825895673078	0.00196720150920817	0.00240217262762599
