glottocode	latitude	longitude	longitude_180	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec	UV_sd	UV_mean
wadj1254	-13.204044	130.243534	130.243534	20038	19494	20554	21105	19428	18691	19743	21544	23253	23935	23089	21447	1687.58698765696	21026.75
wage1238	-13.930709	131.13272	131.13272	20537	19950	20890	21210	19407	18610	19641	21608	23608	24308	23597	22239	1828.57169587897	21300.4166666667
waka1280	48.67	235.25	-124.75	3190	6031	9624	14239	17959	19121	20016	17252	12874	7027	3645	2537	6589.58800098514	11126.25
waor1240	-1.12312	283.317	-76.683	14456	13730	12302	12007	11990	11575	11840	14156	14804	13966	13983	13424	1159.03027322086	13186.0833333333
west2604	-2.92	132.25	132.25	17138	18940	18980	17532	16426	15079	14859	16266	18083	19114	19106	17559	1518.54586544317	17423.5
worr1236	-15.92	125.93	125.93	22320	21555	21694	21201	18682	17767	18722	21328	24066	25712	25893	24380	2696.55265893775	21943.3333333333
yama1264	-55.2748	291.7352	-68.2648	15387	12732	8506	4251	2596	1507	1827	3590	6704	11605	15055	15885	5606.01662380372	8303.75
yano1268	1.68	295.12	-64.88	16101	16441	15890	13876	13739	14063	15315	16681	17313	16145	15942	15509	1145.8946848589	15584.5833333333
yeni1252	57	93	93	2540	5795	11101	16342	19879	21189	19620	15454	10115	5498	2734	1844	7306.40417871385	11009.25
yuka1259	66.985	169.6875	169.6875	262	1666	7411	15664	20745	21919	18062	11541	6596	2711	549	100	8347.05360645844	8935.5
zamu1243	-19.5733	300.71	-59.29	17512	17895	16749	15815	13217	12378	13534	14952	16502	18351	17985	17828	2078.76452964182	16059.8333333333
zuni1245	35.0056	251.218	-108.782	10524	13366	18594	23063	26472	28144	24681	21845	19970	16253	11868	9645	6366.61711883782	18702.0833333333
